sym,oos_win_rate,oos_score,wfe,oos_trades,tier,asset_class
XLE,0.75,5.9778366751180245,0.6251742435863016,16,robust,equity
XLB,0.7333333333333333,10.251513069949937,0.5410053328739434,15,robust,equity
XIC.TO,0.7058823529411765,6.048002003874032,0.19095628439881324,17,robust,equity
VFV.TO,0.0,-3.126297603145446,-0.12234198047669372,3,watch,equity
ZEB.TO,0.0,-2.573998325810936,-0.07698364557743567,0,robust,equity
FRU.TO,0.625,7.488588412299831,0.4140317296954693,8,robust,equity
SRU.UN.TO,0.8888888888888888,0.1525983103051701,0.010865174957955252,9,robust,equity
ZWB.TO,0.0,0.0,0.0,0,robust,equity
CEW.TO,0.625,6.4241736507155975,0.2396139845301924,8,robust,equity
ARX.TO,0.9166666666666666,12.374952465843714,1.3005563182845246,12,robust,equity
BTO.TO,0.75,2.7405184729156065,0.7415940391899095,16,robust,equity
EQB.TO,0.5714285714285714,1.7539946952620769,0.18447518667162038,7,robust,equity
QQQ,0.5,-0.0998407460832659,-0.007326384008443404,4,robust,equity
WCP.TO,0.5555555555555556,2.919766147438588,0.2917169040505207,9,watch,equity
DFY.TO,0.8571428571428571,5.054882999988694,0.2007136450363027,7,robust,equity
KEY.TO,0.8333333333333334,17.40417092149845,1.6131987241791814,6,watch,equity
CGL.TO,0.75,9.032696927491951,0.5545025823864917,8,robust,commodity
IWM,0.6153846153846154,4.572225729712044,0.4601054743654989,13,robust,equity
RS,0.5384615384615384,2.8875871555067585,0.18663673892728264,13,robust,equity
GEI.TO,0.6923076923076923,0.91999354908394,0.005103078380770054,13,robust,equity
ZUT.TO,0.7777777777777778,2.4913117618417813,0.19531553417039615,9,watch,equity
XEI.TO,0.6875,3.6224874773783333,0.1584005025748508,16,watch,equity
EFN.TO,0.8,2.467799603163193,0.08704232740231545,5,watch,equity
DBC,1.0,6.157858308412064,0.6502508772320194,4,robust,commodity
DBA,0.7,9.480226272127178,1.0731429203889433,20,robust,commodity
TA.TO,0.6666666666666666,0.7277209284136099,0.09284567488453874,12,watch,equity
CRT.UN.TO,0.7142857142857143,6.449200312402634,0.39559996785535156,7,robust,equity
VALE,0.625,6.3392473348566245,1.5200606151685219,16,robust,equity
ENB.TO,0.7368421052631579,111.21755200803372,8.389000839666162,19,robust,equity
XIU.TO,0.6666666666666666,19.474934600708142,0.7044861369382096,12,robust,equity
VDY.TO,0.7,18.198034792978472,0.6613664882839324,10,robust,equity
SLF.TO,0.8333333333333334,7.175576678899337,0.5388899902909424,12,robust,equity
