sym_y,sym_x,pvalue,adf_stat,hedge_ratio,half_life,n_obs,cointegrated,tradeable
EUR/GBP,EUR/CAD,0.00092,-4.113,0.5074,9.16,721,True,True
EUR/CHF,EUR/JPY,0.00169,-3.951,-0.1355,9.29,721,True,True
EUR/CHF,AUD/USD,0.00349,-3.748,-0.1698,10.63,721,True,True
USD/JPY,AUD/USD,0.00585,-3.595,0.452,14.07,721,True,True
EUR/JPY,AUD/USD,0.0074,-3.524,1.0272,13.97,721,True,True
USD/CAD,GBP/USD,0.00755,-3.517,-0.4847,16.6,721,True,True
EUR/CHF,EUR/GBP,0.00757,-3.517,-0.342,13.03,721,True,True
EUR/GBP,EUR/USD,0.00788,-3.504,0.3865,14.56,721,True,True
EUR/CAD,EUR/USD,0.00887,-3.467,0.7143,14.3,721,True,True
GBP/USD,EUR/USD,0.00938,-3.45,0.6127,15.71,721,True,True
EUR/CHF,USD/JPY,0.01021,-3.423,-0.1535,12.9,721,True,True
USD/CAD,EUR/USD,0.01604,-3.275,-0.2833,20.8,721,True,True
EUR/GBP,GBP/USD,0.01906,-3.216,0.4566,17.75,721,True,True
EUR/CHF,EUR/USD,0.01909,-3.216,-0.1383,15.08,721,True,True
EUR/CHF,USD/CAD,0.02212,-3.165,0.2466,16.08,721,True,True
EUR/CHF,EUR/CAD,0.02521,-3.119,-0.1585,16.23,721,True,True
USD/CAD,EUR/CAD,0.02704,-3.093,-0.1828,23.17,721,True,True
USD/CAD,EUR/GBP,0.02821,-3.078,-0.4082,24.26,721,True,True
GBP/USD,EUR/CAD,0.0291,-3.067,0.6757,20.33,721,True,True
EUR/CHF,GBP/USD,0.03079,-3.046,-0.1708,16.81,721,True,True
USD/CAD,EUR/JPY,0.03737,-2.974,-0.101,25.28,721,True,True
EUR/GBP,EUR/JPY,0.04109,-2.938,0.2497,16.79,721,True,True
USD/JPY,EUR/JPY,0.04856,-2.873,0.4396,14.92,721,True,True
EUR/JPY,EUR/CAD,0.05683,-2.81,1.4336,16.49,721,False,False
USD/JPY,EUR/GBP,0.07453,-2.697,0.457,23.32,721,False,False
USD/JPY,EUR/USD,0.07984,-2.667,0.0595,24.6,721,False,False
USD/JPY,EUR/CAD,0.08224,-2.655,0.2446,23.4,721,False,False
EUR/JPY,EUR/USD,0.08371,-2.647,1.0592,22.24,721,False,False
USD/CAD,AUD/USD,0.08393,-2.646,-0.2121,28.63,721,False,False
USD/JPY,GBP/USD,0.08766,-2.626,-0.0705,25.33,721,False,False
EUR/JPY,GBP/USD,0.09549,-2.588,1.3868,24.89,721,False,False
USD/JPY,USD/CAD,0.12092,-2.478,0.5059,24.86,721,False,False
EUR/GBP,AUD/USD,0.22694,-2.145,0.1895,38.42,721,False,False
EUR/CAD,AUD/USD,0.25981,-2.063,0.3674,46.94,721,False,False
GBP/USD,AUD/USD,0.3644,-1.833,0.3895,61.46,721,False,False
EUR/USD,AUD/USD,0.63048,-1.297,0.5797,120.65,721,False,False
