sym_y,sym_x,n_folds,oos_score,is_score,wfe,oos_trades,oos_win_rate,oos_return,oos_max_dd,best_params,tier
EUR/JPY,AUD/USD,1,1.81,25.905,0.07,2,0.5,0.0075,-0.027,"{'window': 20, 'entry_z': 1.5, 'exit_z': 0.25}",watch
EUR/GBP,EUR/CAD,1,0.0,6.169,0.0,0,0.0,0.0,0.0,"{'window': 180, 'entry_z': 1.5, 'exit_z': 0.25}",watch
EUR/CHF,AUD/USD,1,0.0,-1.488,0.0,0,0.0,0.0,0.0,"{'window': 120, 'entry_z': 2.5, 'exit_z': 1.0}",watch
EUR/CHF,EUR/JPY,1,0.0,-0.108,0.0,0,0.0,0.0,0.0,"{'window': 180, 'entry_z': 2.5, 'exit_z': 0.75}",watch
USD/JPY,AUD/USD,1,0.0,8.568,0.0,0,0.0,0.0,0.0,"{'window': 120, 'entry_z': 1.5, 'exit_z': 1.0}",watch
USD/CAD,GBP/USD,1,0.0,2.959,0.0,0,0.0,0.0,0.0,"{'window': 60, 'entry_z': 2.0, 'exit_z': 0.5}",watch
EUR/CHF,EUR/GBP,1,0.0,0.125,0.0,0,0.0,0.0,0.0,"{'window': 120, 'entry_z': 2.5, 'exit_z': 0.25}",watch
EUR/GBP,EUR/USD,1,0.0,2.875,0.0,0,0.0,0.0,0.0,"{'window': 120, 'entry_z': 1.5, 'exit_z': 0.75}",watch
GBP/USD,EUR/USD,1,0.0,4.276,0.0,0,0.0,0.0,0.0,"{'window': 45, 'entry_z': 2.5, 'exit_z': 0.25}",watch
EUR/CHF,USD/JPY,1,0.0,-1.259,0.0,0,0.0,0.0,0.0,"{'window': 180, 'entry_z': 2.5, 'exit_z': 0.75}",watch
USD/CAD,EUR/USD,1,0.0,0.115,0.0,0,0.0,0.0,0.0,"{'window': 180, 'entry_z': 2.0, 'exit_z': 0.25}",watch
EUR/GBP,GBP/USD,1,0.0,2.95,0.0,0,0.0,0.0,0.0,"{'window': 120, 'entry_z': 2.0, 'exit_z': 0.25}",watch
USD/CAD,EUR/CAD,1,0.0,0.614,0.0,0,0.0,0.0,0.0,"{'window': 180, 'entry_z': 2.5, 'exit_z': 0.25}",watch
EUR/CHF,EUR/USD,1,0.0,-0.258,0.0,0,0.0,0.0,0.0,"{'window': 180, 'entry_z': 2.5, 'exit_z': 0.75}",watch
EUR/CHF,USD/CAD,1,0.0,0.127,0.0,0,0.0,0.0,0.0,"{'window': 180, 'entry_z': 2.0, 'exit_z': 0.25}",watch
EUR/CHF,EUR/CAD,1,0.0,0.72,0.0,0,0.0,0.0,0.0,"{'window': 180, 'entry_z': 2.5, 'exit_z': 0.25}",watch
GBP/USD,EUR/CAD,1,0.0,1.259,0.0,0,0.0,0.0,0.0,"{'window': 120, 'entry_z': 2.0, 'exit_z': 0.25}",watch
USD/CAD,EUR/GBP,1,0.0,2.097,0.0,0,0.0,0.0,0.0,"{'window': 120, 'entry_z': 1.5, 'exit_z': 0.5}",watch
EUR/CHF,GBP/USD,1,0.0,0.117,0.0,0,0.0,0.0,0.0,"{'window': 120, 'entry_z': 2.0, 'exit_z': 1.0}",watch
EUR/CAD,EUR/USD,1,-1.405,1.375,-1.022,1,1.0,-0.0057,-0.0142,"{'window': 45, 'entry_z': 1.5, 'exit_z': 0.25}",watch
