symbol,sec_type,asset_class,bars,start,end,ann_ret,ann_vol,sortino_over_dd,sortino,sharpe,max_dd,hit_rate,overlay_scalar,overlay_halt,overlay_20p_mean,overlay_20p_min,overlay_20p_halts,persistence_halt,persistence_reason,theses_implicating
AGG,STK,fixed_income,493,2024-09-17,2026-09-03,-0.0243,0.0464,-13.689,-0.772,-0.524,-0.0564,0.496,0.7544,False,0.7189,0.7,0,False,,
BND,STK,fixed_income,493,2024-09-17,2026-09-03,-0.0241,0.0451,-14.518,-0.804,-0.533,-0.0553,0.488,0.7544,False,0.7189,0.7,0,False,,
CGL-C.TO,STK,precious_metals,0,,,,,,,,,,0.7812,False,0.7802,0.775,0,False,,
CGL.TO,STK,precious_metals,494,2024-09-17,2026-09-03,0.2905,0.2454,5.609,1.518,1.184,-0.2706,0.55,0.7812,False,0.7802,0.775,0,False,,"Complacency divergence, Conflict escalation watch"
DBA,STK,commodity,493,2024-09-17,2026-09-03,0.0766,0.1301,7.579,0.831,0.589,-0.1096,0.51,0.4469,False,0.5613,0.4478,0,False,,
DBC,STK,commodity,493,2024-09-17,2026-09-03,0.2099,0.1885,9.415,1.557,1.113,-0.1654,0.539,0.4469,False,0.5613,0.4478,0,False,,
EMB,STK,fixed_income,493,2024-09-17,2026-09-03,0.0069,0.0672,1.84,0.141,0.103,-0.0768,0.502,0.7544,False,0.7189,0.7,0,False,,
GLD,STK,precious_metals,0,,,,,,,,,,0.7812,False,0.7802,0.775,0,False,,"Complacency divergence, Conflict escalation watch"
GOVT,STK,fixed_income,491,2024-09-18,2026-09-02,-0.0736,0.0801,-2.045,-0.375,-0.918,-0.1836,0.035,0.7544,False,0.7189,0.7,0,False,,
GSG,STK,commodity,493,2024-09-17,2026-09-03,0.2907,0.2173,10.078,1.896,1.338,-0.1881,0.528,0.4469,False,0.5613,0.4478,0,False,,
HYG,STK,fixed_income,493,2024-09-17,2026-09-03,-0.0028,0.0517,-1.23,-0.071,-0.054,-0.0574,0.514,0.7544,False,0.7189,0.7,0,False,,
IAU,STK,precious_metals,493,2024-09-17,2026-09-03,0.311,0.2408,6.109,1.61,1.291,-0.2636,0.569,0.7812,False,0.7802,0.775,0,False,,
IEF,STK,fixed_income,493,2024-09-17,2026-09-03,-0.0342,0.0563,-12.846,-0.96,-0.607,-0.0747,0.488,0.7544,False,0.7189,0.7,0,False,,
IEI,STK,fixed_income,493,2024-09-17,2026-09-03,-0.0184,0.0364,-16.439,-0.741,-0.506,-0.0451,0.496,0.7544,False,0.7189,0.7,0,False,,
JNK,STK,fixed_income,493,2024-09-17,2026-09-03,-0.0093,0.0526,-3.487,-0.234,-0.177,-0.0671,0.516,0.7544,False,0.7189,0.7,0,False,,
LQD,STK,fixed_income,493,2024-09-17,2026-09-03,-0.0363,0.0656,-10.684,-0.789,-0.552,-0.0738,0.488,0.7544,False,0.7189,0.7,0,False,,
MBB,STK,fixed_income,493,2024-09-17,2026-09-03,-0.02,0.0528,-9.257,-0.566,-0.379,-0.0611,0.514,0.7544,False,0.7189,0.7,0,False,,
MUB,STK,fixed_income,493,2024-09-17,2026-09-03,-0.0212,0.0405,-10.419,-0.612,-0.524,-0.0588,0.514,0.7544,False,0.7189,0.7,0,False,,
PALL,STK,precious_metals,493,2024-09-17,2026-09-03,0.2132,0.4344,1.548,0.668,0.491,-0.432,0.504,0.7812,False,0.7802,0.775,0,False,,
PPLT,STK,precious_metals,493,2024-09-17,2026-09-03,0.3952,0.4079,2.725,1.198,0.969,-0.4397,0.535,0.7812,False,0.7802,0.775,0,False,,
PSLV,STK,precious_metals,493,2024-09-17,2026-09-03,0.5066,0.481,2.284,1.161,1.053,-0.5083,0.563,0.7812,False,0.7802,0.775,0,False,,
SGOL,STK,precious_metals,493,2024-09-17,2026-09-03,0.3118,0.2402,6.154,1.62,1.298,-0.2632,0.565,0.7812,False,0.7802,0.775,0,False,,
SHY,STK,fixed_income,493,2024-09-17,2026-09-03,-0.0087,0.0184,-25.538,-0.521,-0.473,-0.0204,0.516,0.7544,False,0.7189,0.7,0,False,,
SIVR,STK,precious_metals,493,2024-09-17,2026-09-03,0.5199,0.4811,2.232,1.167,1.081,-0.5227,0.571,0.7812,False,0.7802,0.775,0,False,,
SLV,STK,precious_metals,493,2024-09-17,2026-09-03,0.5181,0.4815,2.223,1.162,1.076,-0.5228,0.565,0.7812,False,0.7802,0.775,0,False,,"Complacency divergence, Conflict escalation watch"
TFI,STK,fixed_income,493,2024-09-17,2026-09-03,-0.0279,0.0409,-10.7,-0.74,-0.681,-0.0691,0.478,0.7544,False,0.7189,0.7,0,False,,
TLH,STK,fixed_income,493,2024-09-17,2026-09-03,-0.068,0.0947,-8.436,-1.079,-0.718,-0.1279,0.488,0.7544,False,0.7189,0.7,0,False,,
TLT,STK,fixed_income,493,2024-09-17,2026-09-03,-0.0987,0.1164,-6.942,-1.271,-0.848,-0.1832,0.482,0.7544,False,0.7189,0.7,0,False,,
UNG,STK,commodity,493,2024-09-17,2026-09-03,0.007,0.5937,0.03,0.018,0.012,-0.5959,0.51,0.4469,False,0.5613,0.4478,0,False,,
USO,STK,commodity,0,,,,,,,,,,0.4469,False,0.5613,0.4478,0,False,,
VAB.TO,STK,fixed_income,494,2024-09-17,2026-09-03,-0.0216,0.052,-11.224,-0.606,-0.415,-0.054,0.509,0.7544,False,0.7189,0.7,0,False,,
XBB.TO,STK,fixed_income,493,2024-09-17,2026-09-03,-0.0029,0.0492,-1.493,-0.082,-0.06,-0.0546,0.5,0.7544,False,0.7189,0.7,0,False,,
ZAG.TO,STK,fixed_income,494,2024-09-17,2026-09-03,-0.021,0.0504,-12.114,-0.631,-0.416,-0.0521,0.452,0.7544,False,0.7189,0.7,0,False,,
ZDB.TO,STK,fixed_income,494,2024-09-17,2026-09-03,-0.0099,0.0496,-7.607,-0.309,-0.2,-0.0407,0.454,0.7544,False,0.7189,0.7,0,False,,
ZFL.TO,STK,fixed_income,494,2024-09-17,2026-09-03,-0.0833,0.1137,-6.94,-1.135,-0.733,-0.1635,0.471,0.7544,False,0.7189,0.7,0,False,,
ES,FUT,future,489,2024-09-17,2026-09-03,0.1491,0.1635,5.861,1.184,0.912,-0.2019,0.549,0.3648,False,0.3021,0.25,0,False,,
NQ,FUT,future,249,2025-09-08,2026-09-03,0.1987,0.1939,11.474,1.536,1.024,-0.1339,0.544,0.3648,False,0.3021,0.25,0,False,,
RTY,FUT,future,178,2025-12-18,2026-09-03,0.2252,0.1851,17.65,2.089,1.217,-0.1183,0.554,0.3648,False,0.3021,0.25,0,False,,
YM,FUT,future,178,2025-12-18,2026-09-03,0.1351,0.1308,15.637,1.604,1.033,-0.1026,0.542,0.3648,False,0.3021,0.25,0,False,,
CL,FUT,future,491,2024-09-17,2026-09-03,0.2097,0.2862,4.039,0.998,0.733,-0.2471,0.541,0.3648,False,0.3021,0.25,0,False,,
NG,FUT,future,494,2024-09-17,2026-09-03,-0.051,0.2776,-0.568,-0.221,-0.184,-0.3888,0.54,0.3648,False,0.3021,0.25,0,False,,
HO,FUT,future,491,2024-09-17,2026-09-03,0.4191,0.2819,11.621,2.21,1.487,-0.1901,0.551,0.3648,False,0.3021,0.25,0,False,,
GC,FUT,future,392,2025-02-11,2026-09-03,0.2638,0.259,4.696,1.248,1.018,-0.2658,0.545,0.3648,False,0.3021,0.25,0,False,,
SI,FUT,future,461,2024-11-01,2026-09-03,0.4884,0.5168,1.987,1.041,0.945,-0.524,0.557,0.3648,False,0.3021,0.25,0,False,,
HG,FUT,future,494,2024-09-17,2026-09-03,0.2495,0.3053,3.914,0.918,0.817,-0.2345,0.529,0.3648,False,0.3021,0.25,0,False,,
ZN,FUT,future,175,2025-12-23,2026-09-03,-0.0548,0.0434,-38.666,-2.057,-1.264,-0.0532,0.454,0.3648,False,0.3021,0.25,0,False,,
ZB,FUT,future,175,2025-12-23,2026-09-03,-0.0652,0.0801,-15.784,-1.3,-0.814,-0.0823,0.454,0.3648,False,0.3021,0.25,0,False,,
ZF,FUT,future,168,2026-01-05,2026-09-03,-0.0477,0.0305,-61.242,-2.485,-1.562,-0.0406,0.491,0.3648,False,0.3021,0.25,0,False,,
ZC,FUT,future,0,,,,,,,,,,0.3648,False,0.3021,0.25,0,False,,
ZW,FUT,future,0,,,,,,,,,,0.3648,False,0.3021,0.25,0,False,,
