pair,wire,rows_total,rows_added,window_h,trades_24h,buy_vol_share,vwap_24h,notional_24h_usd,avg_trade_size,latest_ts
BTC/USD,XBTUSD,8041,1359,24.0,8041,0.39079655654411055,76842.09060210138,11445528.379339116,0.01852365195995523,2026-09-10T23:21:27.885899544+00:00
PAXG/USD,PAXGUSD,2918,8,24.0,2916,0.35836267703798275,4364.395417648216,2781452.183009917,0.21855461800411524,2026-09-10T23:20:52.294006348+00:00
XMR/USD,XMRUSD,7917,92,24.0,7857,0.6750833484565772,510.0486715263518,5049747.218375909,1.2600891287005218,2026-09-10T23:18:24.139630795+00:00
XRP/USD,XRPUSD,37202,104,24.0,37083,0.4947041008021511,1.3660482854954832,49800167.86239046,983.0823409042908,2026-09-10T23:21:36.230091572+00:00
XLM/USD,XLMUSD,9380,126,24.0,9313,0.7207557562889181,0.17915556193122567,3599968.857873219,2157.6393073831814,2026-09-10T23:21:37.921448708+00:00
LINK/USD,LINKUSD,8914,66,24.0,8866,0.40588894220127253,11.680507432674386,4466232.1215470545,43.12725867100947,2026-09-10T23:19:46.555762053+00:00
ETH/USD,ETHUSD,45273,44,24.0,45138,0.4412466850813208,2449.1083427694007,75844828.55201325,0.6860814291904827,2026-09-10T23:21:41.884636879+00:00
SOL/USD,SOLUSD,35646,65,24.0,35446,0.4472100365212306,100.27483183633547,36935028.19823763,10.39152434605005,2026-09-10T23:21:42.515811205+00:00
ADA/USD,ADAUSD,11555,15,24.0,11528,0.48317758713846415,0.2105246103420282,7982175.320395568,3289.0041569875416,2026-09-10T23:21:27.769765615+00:00
POL/USD,POLUSD,2555,31,24.0,2544,0.4840128197146927,0.09311165467995412,575308.6689531367,2428.7329603537737,2026-09-10T23:19:58.361959219+00:00
UNI/USD,UNIUSD,14742,22,24.0,14544,0.4758148688863249,6.004191687797521,5216423.547220804,59.73576528192657,2026-09-10T23:21:42.639720440+00:00
AAVE/USD,AAVEUSD,3641,48,24.0,3612,0.4499432336640452,123.18013343027313,1280407.7804967547,2.8777952583028794,2026-09-10T23:21:25.653111219+00:00
ZEC/USD,ZECUSD,52668,125,24.0,52467,0.4585203677098642,1165.0229935302061,53335077.92551403,0.872553780590657,2026-09-10T23:21:51.056582451+00:00
