[warm] 25 symbols requested
2026-09-04 09:30:14 [info     ] questrade.token.refresh.start
2026-09-04 09:30:14 [info     ] questrade.token.refresh.ok     api_server=https://api07.iq.questrade.com/
  [1/25] AGG: 1254 bars (2021-09-07 -> 2026-09-03)
  [2/25] BND: 1254 bars (2021-09-07 -> 2026-09-03)
  [3/25] DBA: 1254 bars (2021-09-07 -> 2026-09-03)
  [4/25] DBC: 1254 bars (2021-09-07 -> 2026-09-03)
  [5/25] DIA: 1254 bars (2021-09-07 -> 2026-09-03)
  [6/25] EMB: 1254 bars (2021-09-07 -> 2026-09-03)
  [7/25] GLD: 1254 bars (2021-09-07 -> 2026-09-03)
  [8/25] GOVT: 1254 bars (2021-09-07 -> 2026-09-03)
  [9/25] HYG: 1254 bars (2021-09-07 -> 2026-09-03)
  [10/25] IAU: 1254 bars (2021-09-07 -> 2026-09-03)
  [11/25] IEF: 1254 bars (2021-09-07 -> 2026-09-03)
  [12/25] IEI: 1254 bars (2021-09-07 -> 2026-09-03)
  [13/25] JNK: 1254 bars (2021-09-07 -> 2026-09-03)
  [14/25] LQD: 1254 bars (2021-09-07 -> 2026-09-03)
  [15/25] MBB: 1254 bars (2021-09-07 -> 2026-09-03)
  [16/25] MUB: 1254 bars (2021-09-07 -> 2026-09-03)
  [17/25] PSLV: 1254 bars (2021-09-07 -> 2026-09-03)
  [18/25] SGOL: 1254 bars (2021-09-07 -> 2026-09-03)
  [19/25] SHY: 1254 bars (2021-09-07 -> 2026-09-03)
  [20/25] SLV: 1254 bars (2021-09-07 -> 2026-09-03)
  [21/25] TFI: 1254 bars (2021-09-07 -> 2026-09-03)
  [22/25] TLH: 1254 bars (2021-09-07 -> 2026-09-03)
  [23/25] TLT: 1254 bars (2021-09-07 -> 2026-09-03)
  [24/25] UNG: 1254 bars (2021-09-07 -> 2026-09-03)
  [25/25] USO: 1254 bars (2021-09-07 -> 2026-09-03)

[warm] done: 25 ok, 0 empty, 0 failed
