sym,price,adv,score,strategy,params,sharpe,maxdd,trades
FIE_TO,11.18,1256729.564,21.909140952718477,atr_channel,"{'ema_window': 10, 'k': 2.0}",1.3818173707171517,-0.043078181201847365,29
CEW_TO,34.65,2035476.2251666668,19.486216779751977,atr_channel,"{'ema_window': 10, 'k': 2.5}",1.7697471412588373,-0.05642463887824023,22
XLU,42.73,869739155.925,12.692772669365953,bollinger,"{'window': 20, 'n_std': 2.5}",1.2257996597780865,-0.03345978684021966,14
XEI_TO,39.7,7134655.909333332,12.212877473600935,atr_channel,"{'ema_window': 20, 'k': 1.5}",1.1187591014409082,-0.07612094256991653,34
DBC,31.26,27474734.030758332,11.080331184519329,bollinger,"{'window': 10, 'n_std': 2.5}",1.1670500834207722,-0.012446146481570164,6
ZWB_TO,30.29,5429727.904500001,9.175083241965355,atr_channel,"{'ema_window': 10, 'k': 1.5}",1.1915604613432256,-0.0873855176162166,41
CRT_UN_TO,17.71,4158947.412666666,8.022533693762128,rsi_meanrevert,"{'window': 7, 'oversold': 20}",1.0862461965097148,-0.02825362655322572,10
XEG_TO,28.09,55173618.73599999,7.903676493473571,rsi_meanrevert,"{'window': 21, 'oversold': 35}",1.305922674232429,-0.04962610469068662,8
KEL_TO,10.73,5485110.219666665,7.653843879860836,bollinger,"{'window': 10, 'n_std': 1.5}",1.564991825070109,-0.15495160270968522,63
ZWC_TO,22.75,2012247.5021666668,7.373926787877491,bollinger,"{'window': 20, 'n_std': 2.0}",0.9968095720368055,-0.062411941666207005,28
VALE,15.095,343472486.3459166,7.352024524264285,bollinger,"{'window': 15, 'n_std': 2.5}",1.1185985693570306,-0.029126213592233108,6
MTY_TO,36.24,3505350.278833334,6.888370334457564,rsi_meanrevert,"{'window': 7, 'oversold': 35}",1.0889741557244803,-0.10842895591564305,43
ACB_TO,5.62,2103047.015166667,6.662475780870212,rsi_meanrevert,"{'window': 14, 'oversold': 20}",0.6088787643696931,-0.0039044945301173195,1
XRE_TO,16.19,4354928.0725,6.552278790904359,rsi_meanrevert,"{'window': 7, 'oversold': 25}",0.8744355026620317,-0.06164962295287091,29
ARX_TO,33.33,99337806.19816667,6.298077454771915,rsi_meanrevert,"{'window': 21, 'oversold': 30}",0.9731238331436242,-0.009277155005798288,2
PFE,27.96,1082984255.9568331,6.13419118300396,rsi_meanrevert,"{'window': 14, 'oversold': 25}",1.0720223784605774,-0.04361159152895022,8
DBA,29.19,29649904.423166666,5.72305986298506,bollinger,"{'window': 30, 'n_std': 1.5}",0.8822585156088222,-0.06921184079810694,31
CPER,40.675,20599036.709250007,5.3602449610198715,bollinger,"{'window': 30, 'n_std': 1.5}",1.033064108501317,-0.08198300608151943,24
PSK_TO,36.19,13824606.1465,5.327780496276038,bollinger,"{'window': 10, 'n_std': 1.5}",0.8293467110050815,-0.09692513368983946,59
BTO_TO,7.85,30217802.03683334,5.316332844511614,rsi_meanrevert,"{'window': 7, 'oversold': 25}",1.418244727086286,-0.15831134564643767,27
CAR_UN_TO,33.33,14155441.205,5.159272873404605,rsi_meanrevert,"{'window': 7, 'oversold': 20}",0.867242253541887,-0.07172625575784164,22
BHC_TO,9.22,5286504.076833334,5.128728844074175,rsi_meanrevert,"{'window': 7, 'oversold': 35}",1.1210164337046384,-0.17170622629038912,41
SRU_UN_TO,27.8,9219626.552666666,4.933085947505753,rsi_meanrevert,"{'window': 7, 'oversold': 25}",0.874913184901567,-0.06404140069718978,26
UUP,27.95,53945816.517076656,4.841130391276486,bollinger,"{'window': 30, 'n_std': 3.0}",0.5741246783172868,-0.028561596696489833,10
NOK,10.17,1143078398.9326668,4.834700479623601,bollinger,"{'window': 10, 'n_std': 2.5}",1.0557054591713209,-0.04739336492891022,7
TVE_TO,13.41,22247820.362166665,4.7763240146970505,bollinger,"{'window': 10, 'n_std': 1.5}",1.2573108356797336,-0.15459084945162382,48
OBE_TO,15.85,4850589.664,4.398118946397146,bollinger,"{'window': 20, 'n_std': 3.0}",0.9092548157347506,-0.010320211826987169,2
DIR_UN_TO,13.86,7257299.622,4.270787691470959,rsi_meanrevert,"{'window': 7, 'oversold': 20}",0.8889300288305411,-0.05647943064270322,13
WCP_TO,17.85,86455881.9205,4.03778640912927,bollinger,"{'window': 15, 'n_std': 1.5}",1.1256916882404395,-0.1794976554714891,47
RUM,9.38,26064203.005083334,3.9961499382783696,bollinger,"{'window': 30, 'n_std': 3.0}",0.8551915116636731,-0.03996639339905139,2
CAE_TO,34.32,32159044.74416667,3.8627322906214756,rsi_meanrevert,"{'window': 14, 'oversold': 35}",1.0745159417374328,-0.1310273222598748,20
REI_UN_TO,20.94,14208570.384499999,3.8128914065049173,bollinger,"{'window': 10, 'n_std': 2.5}",1.0156907374514772,-0.02824514932266342,7
HWX_TO,14.18,7597828.922666667,3.810869701604815,bollinger,"{'window': 20, 'n_std': 1.5}",0.9730901262522835,-0.1358280933589172,33
GEI_TO,31.02,20643205.992000002,3.69809028053562,rsi_meanrevert,"{'window': 14, 'oversold': 35}",0.9969295975508481,-0.09136420525657074,18
FRU_TO,17.84,9877802.012666667,3.659926372763908,bollinger,"{'window': 15, 'n_std': 1.5}",1.1055768832173947,-0.14733132255669845,39
ARE_TO,43.45,21059309.565333333,3.535027177985294,ts_momentum,"{'lookback': 63, 'threshold': 0.0}",1.2597664053317914,-0.25417766051011415,16
NG_TO,13.63,6650515.522666668,3.5170077977039433,bollinger,"{'window': 30, 'n_std': 2.0}",1.2143201979395777,-0.23450174522145417,21
XBM_TO,39.56,3118441.0985,3.494617090739256,rsi_meanrevert,"{'window': 14, 'oversold': 35}",1.089087442493553,-0.13733315765877463,20
SAP_TO,40.43,35329944.73466667,3.442305563265208,bollinger,"{'window': 15, 'n_std': 2.0}",0.7073385200252373,-0.11123433693575868,33
TOY_TO,20.25,3584804.959166667,3.3714189329646156,bollinger,"{'window': 30, 'n_std': 2.0}",0.9184166023059779,-0.13799106628528024,25
SVR_TO,31.1,2022478.5218333332,3.331184999934001,rsi_meanrevert,"{'window': 7, 'oversold': 30}",0.6142323405490919,-0.10239727699212131,33
EFN_TO,26.17,30353004.9365,3.305066889572546,ts_momentum,"{'lookback': 126, 'threshold': 0.0}",0.8495245141766457,-0.1640193677227182,10
U_UN_TO,29.09,27289324.42150001,3.29418765320236,bollinger,"{'window': 10, 'n_std': 1.5}",0.6805722309387581,-0.140826216329749,55
ZGD_TO,34.89,3282540.3321666666,3.255945642985107,bollinger,"{'window': 15, 'n_std': 2.5}",1.0726623311599524,-0.07363617495132524,9
BB_TO,10.65,71356432.89966665,3.19424429695951,rsi_meanrevert,"{'window': 21, 'oversold': 30}",1.2132075158158653,-0.12413793103448267,7
UDN,18.33,1534339.5284333336,3.1834757972548724,rsi_meanrevert,"{'window': 14, 'oversold': 25}",0.40905336919311347,-0.023910733262486494,6
ZUT_TO,28.44,1254065.3861666666,3.1600816548105586,ts_momentum,"{'lookback': 189, 'threshold': 0.0}",0.6479683113193286,-0.10308829926054774,10
MFI_TO,26.78,6434937.253666667,3.1409432831253348,bollinger,"{'window': 15, 'n_std': 1.5}",0.7566052358976355,-0.16503923582003643,43
SMCI,38.18,1921620341.5433335,3.1286964278717,rsi_meanrevert,"{'window': 7, 'oversold': 35}",1.1209705277985094,-0.24375640499397266,39
BEP_UN_TO,44.07,16272978.597166665,3.051659416581986,rsi_meanrevert,"{'window': 14, 'oversold': 30}",0.8120932022258597,-0.09980864766899589,14
TA_TO,17.3,40315583.68666666,2.9979897238513464,macd,"{'fast': 16, 'slow': 34}",0.9348471526869865,-0.24812766993189295,43
ATH_TO,10.63,19512358.258499995,2.9978461674079546,macd,"{'fast': 16, 'slow': 34}",1.205036098000147,-0.38528624995399074,49
TPZ_TO,31.79,15668122.248666666,2.987657284706904,rsi_meanrevert,"{'window': 7, 'oversold': 30}",0.8457065268780359,-0.11992263056092878,32
CRR_UN_TO,16.35,2989362.7601666665,2.9280149417475947,rsi_meanrevert,"{'window': 21, 'oversold': 30}",0.971425779428952,-0.06684672518568535,6
BTCC_TO,13.78,2112572.8886666666,2.9265473577886825,rsi_meanrevert,"{'window': 7, 'oversold': 20}",0.890051315284312,-0.11347517730496448,12
WDO_TO,34.74,18412929.376,2.9233951191110563,rsi_meanrevert,"{'window': 14, 'oversold': 25}",1.0258839045941481,-0.0529315960912049,4
CVE_TO,43.91,218028536.6673333,2.8904920087623753,bollinger,"{'window': 10, 'n_std': 2.0}",0.9395520587725332,-0.14290455910848088,33
CGL_TO,33.76,3872767.922666667,2.8822719401809227,atr_channel,"{'ema_window': 30, 'k': 1.5}",0.6918526816079463,-0.15262758709830926,31
GRAB,3.555,164716190.83125004,2.8113292443503055,bollinger,"{'window': 15, 'n_std': 2.0}",0.7978611450214249,-0.16691009823978198,26
BIR_TO,6.33,7657797.187166667,2.8055287059471166,bollinger,"{'window': 10, 'n_std': 1.5}",0.9143959490828903,-0.24807944058300013,64
POU_TO,31.31,6919499.441333334,2.6853266601049857,bollinger,"{'window': 15, 'n_std': 1.5}",0.945086268196931,-0.20752349030141815,43
SOUN,7.005,205870789.1129333,2.658032449797927,macd,"{'fast': 16, 'slow': 21}",1.02734365339707,-0.5259162461064995,39
CJ_TO,11.94,11148601.1295,2.6330261961077652,bollinger,"{'window': 30, 'n_std': 1.5}",0.762181735079573,-0.15877047125357424,25
NPI_TO,20.84,19357835.0165,2.522925610483755,bollinger,"{'window': 20, 'n_std': 1.5}",0.64020968711085,-0.1492203633671615,42
IPCO_TO,34.95,4345564.910666667,2.478864250106752,rsi_meanrevert,"{'window': 14, 'oversold': 35}",1.1582485417500434,-0.17104216388225935,15
CG_TO,32.59,19424083.351166666,2.3767654243884793,bollinger,"{'window': 10, 'n_std': 2.0}",0.8618711629260106,-0.22232922281502165,33
SONY,23.895,113793982.66549997,2.3548282860488916,bollinger,"{'window': 30, 'n_std': 1.5}",0.6678105009541246,-0.1603479635086955,26
OGC_TO,42.61,34111282.51533333,2.3506321981760516,bollinger,"{'window': 20, 'n_std': 2.0}",0.7838568566791961,-0.18141912495341717,27
TF_TO,5.97,1293964.8814999997,2.3062291807680593,atr_channel,"{'ema_window': 20, 'k': 2.5}",0.4452685184737018,-0.05412110733131814,8
CLF,11.425,243055975.33991665,2.260357112265952,rsi_meanrevert,"{'window': 7, 'oversold': 30}",0.9781707552021428,-0.2364400529922921,29
AQN_TO,7.91,21363028.98016667,2.2196308425615645,bollinger,"{'window': 15, 'n_std': 3.0}",0.6831462690788164,-0.05370009952862209,7
BBAI,3.085,95481861.238,2.2063301522676775,bollinger,"{'window': 30, 'n_std': 2.5}",0.57562336839141,-0.2381930184804929,5
T,26.01,1419684188.1796663,2.163266260182357,bollinger,"{'window': 10, 'n_std': 1.5}",0.538570889311875,-0.16877324299042606,60
HR_UN_TO,10.11,9080121.301166667,2.1115663776129767,rsi_meanrevert,"{'window': 21, 'oversold': 25}",0.6382954632455575,-0.060003617097023065,4
AAV_TO,11.14,8906793.563499998,2.1086116495243856,rsi_meanrevert,"{'window': 14, 'oversold': 35}",0.8891890580889574,-0.18488253319714,16
AFN_TO,12.98,2315488.647666667,2.105575393432378,atr_channel,"{'ema_window': 20, 'k': 1.5}",0.6831173860931369,-0.21352612827218265,20
CS_TO,16.3,47048735.57916667,2.1037104667209277,macd,"{'fast': 12, 'slow': 21}",0.8061684179895218,-0.4010396239272531,67
EQX_TO,18.88,65767323.79550001,2.093294161078875,bollinger,"{'window': 30, 'n_std': 1.5}",0.8958264383918266,-0.2787234042553193,33
SLS_TO,12.34,4200343.4565,2.0881661265228146,ema_crossover,"{'fast': 50, 'slow': 200}",0.7749898742198023,-0.37094017094017073,0
VET_TO,17.36,16159665.752833335,2.082961257611111,bollinger,"{'window': 10, 'n_std': 2.0}",0.68201760024253,-0.18194763386645163,41
BTE_TO,6.58,24538966.119666673,2.0641052395065373,rsi_meanrevert,"{'window': 21, 'oversold': 35}",0.9948480942513012,-0.1446280991735539,9
RIG,5.6793,208001954.25339332,2.0027021191693,rsi_meanrevert,"{'window': 7, 'oversold': 20}",0.8774971896909693,-0.13287104224359825,14
T_TO,13.46,138832791.69400004,1.9854075234947912,rsi_meanrevert,"{'window': 14, 'oversold': 25}",0.5679082385136397,-0.08027430415490111,10
NXE_TO,14.44,21298071.5255,1.9762216030944242,bollinger,"{'window': 15, 'n_std': 2.0}",1.131387159715169,-0.3211469742797527,31
PXT_TO,27.88,22841746.5145,1.9705405197856039,bollinger,"{'window': 20, 'n_std': 2.0}",1.0267980216308379,-0.2783480335500137,34
HL,21.09,578673858.1063333,1.9673350580693183,bollinger,"{'window': 10, 'n_std': 2.5}",0.7580936660584414,-0.1113684658416848,11
K_TO,44.83,129556012.18183334,1.9335069768406197,ts_momentum,"{'lookback': 126, 'threshold': 0.02}",0.9661838412801511,-0.32933953537456817,15
PRL_TO,24.9,4832711.7129999995,1.9200882380691104,ts_momentum,"{'lookback': 63, 'threshold': 0.0}",0.761011434194731,-0.35164952753851153,26
ZJG_TO,28.41,4289492.319833333,1.9132851253501497,bollinger,"{'window': 10, 'n_std': 2.0}",0.9499113684501403,-0.26068172035417314,33
CHWY,24.435,180483745.64025,1.8924433866111232,bollinger,"{'window': 10, 'n_std': 2.5}",0.9506797103055609,-0.041968405999909586,4
AC_TO,27.64,66074351.35066667,1.886843758067906,macd,"{'fast': 8, 'slow': 34}",0.6297165889890303,-0.40365041622124975,65
ENGH_TO,17.23,2743278.919333333,1.8815365059524831,rsi_meanrevert,"{'window': 7, 'oversold': 25}",0.6336104365389805,-0.14438241104306493,29
FEC_TO,8.17,1002689.1923333334,1.8571208854158534,bollinger,"{'window': 30, 'n_std': 2.0}",0.7182835809943486,-0.17431276840977006,17
NFI_TO,23.08,6403519.9505,1.8142435343666237,ts_momentum,"{'lookback': 63, 'threshold': 0.0}",0.9984406383609592,-0.34412865305041307,10
GSY_TO,42.11,4606018.216666667,1.800857945655893,atr_channel,"{'ema_window': 10, 'k': 1.5}",0.7668886654617035,-0.27881776976405526,36
SVM_TO,17.71,13766991.386333333,1.7240748636260332,bollinger,"{'window': 10, 'n_std': 2.5}",0.8359130315780355,-0.10659509078478713,11
NU,14.795,1054962251.3831667,1.6992919623699703,macd,"{'fast': 12, 'slow': 26}",0.7638177476539985,-0.36455664333762905,40
LUN_TO,38.09,88574112.13183331,1.664590744290107,ts_momentum,"{'lookback': 63, 'threshold': 0.0}",0.7299283309919494,-0.3949638393358078,34
EDR_TO,15.23,10800708.646499997,1.606416505286101,rsi_meanrevert,"{'window': 14, 'oversold': 30}",0.8405158483436422,-0.2056883484693769,10
NIO,4.445,129651575.77416666,1.5974005119024208,bollinger,"{'window': 10, 'n_std': 2.5}",0.8807707055688423,-0.03125078968572248,3
SGY_TO,11.02,7353133.093833333,1.5789886089956884,rsi_meanrevert,"{'window': 21, 'oversold': 35}",0.9412702511321693,-0.16296296296296253,9
AP_UN_TO,8.87,5683894.0446666675,1.5391131446781907,rsi_meanrevert,"{'window': 14, 'oversold': 35}",0.5596630762316668,-0.17879713500350436,20
KMP_UN_TO,18.3,5754492.493333333,1.5350082689485078,ema_crossover,"{'fast': 10, 'slow': 50}",0.38192114201217675,-0.17514849663093313,13
IMG_TO,29.86,40552722.01133333,1.5068470242720293,momentum_breakout,"{'entry_window': 40, 'exit_window': 10}",0.8996783670592536,-0.29327418330356414,15
UUUU,15.91,120773693.705,1.4564840767787446,macd,"{'fast': 12, 'slow': 21}",0.7718128209874795,-0.5605974723442515,48
WULF,16.1291,682009813.9985634,1.4276153619292036,ts_momentum,"{'lookback': 63, 'threshold': 0.0}",0.9348567081316884,-0.7047479290043627,24
DLO,15.325,36065497.29641667,1.4136655301644203,bollinger,"{'window': 30, 'n_std': 2.0}",0.6710496283294083,-0.24892714313524855,24
CELH,35.2659,298230540.49337,1.4045140648377423,rsi_meanrevert,"{'window': 7, 'oversold': 35}",0.6939931153322694,-0.33400721667013933,38
JD,29.17,244546450.93258333,1.3309499070877975,bollinger,"{'window': 20, 'n_std': 2.5}",0.7365141668166166,-0.18311916035186238,10
AMPX,10.1368,86210210.01809336,1.2795108186696942,bollinger,"{'window': 10, 'n_std': 1.5}",0.6679320196772256,-0.5486545591783606,38
CLSK,12.41,313838245.6125,1.2669968116768515,rsi_meanrevert,"{'window': 21, 'oversold': 25}",0.8408363701101917,-0.025538707102952696,1
ACHR,5.99,217645148.65200004,1.2667349672451849,bollinger,"{'window': 30, 'n_std': 2.0}",0.667273262893105,-0.2410958904109589,17
UEC,13.28,106088792.96383335,1.2613190156853729,rsi_meanrevert,"{'window': 7, 'oversold': 30}",0.6557077822111127,-0.25962487026194436,26
GEVO,1.7,5163291.192500001,1.259573543030566,rsi_meanrevert,"{'window': 7, 'oversold': 25}",0.6260856088255553,-0.3211414485294046,23
ONON,28.815,211778621.35875,1.222658420095627,rsi_meanrevert,"{'window': 7, 'oversold': 35}",0.509543563688104,-0.21344013355371205,38
LIF_TO,26.67,6032826.436666666,1.2196241501241865,rsi_meanrevert,"{'window': 21, 'oversold': 30}",0.8777540255606759,-0.08115323011211961,4
IVN_TO,12.47,43682167.78733334,1.1839643767404602,ts_momentum,"{'lookback': 63, 'threshold': 0.02}",0.6231809905578386,-0.38111520189400194,23
HBM_TO,41.57,83306518.6725,1.1553532428857658,ts_momentum,"{'lookback': 63, 'threshold': 0.0}",0.5809230346882329,-0.46896626893188786,39
SOFI,18.845,1305509463.0454168,1.1055298003394762,bollinger,"{'window': 10, 'n_std': 1.5}",0.622695424675483,-0.41308721464902587,47
CMCSA,27.06,803145991.5112498,1.1055284826063794,bollinger,"{'window': 30, 'n_std': 3.0}",0.49225207811105853,-0.07504816824880323,6
STNE,9.695,45387762.419416666,1.105227584650667,bollinger,"{'window': 15, 'n_std': 2.0}",0.4152246258504428,-0.24944139119361186,22
DKNG,25.9249,309589211.32120997,1.1004814544402293,bollinger,"{'window': 30, 'n_std': 2.0}",0.992796973910827,-0.37315932407207775,20
ENPH,37.525,259476451.8035,1.0543833807110032,rsi_meanrevert,"{'window': 21, 'oversold': 25}",0.8451864530455416,-0.06840961659774292,2
HIVE_TO,4.02,18608908.641,1.0371069436767162,bollinger,"{'window': 30, 'n_std': 3.0}",0.4662445700347173,-0.012288608680734003,1
DCBO_TO,35.67,1736814.3048333335,1.014724221545928,rsi_meanrevert,"{'window': 7, 'oversold': 20}",0.5126111710454163,-0.16425965790991492,16
GOOS_TO,11.48,2123466.062166666,0.9933027139585567,rsi_meanrevert,"{'window': 14, 'oversold': 25}",0.7809777530786631,-0.06466354560346776,3
PET_TO,18.64,4310336.182666668,0.9928616255027793,rsi_meanrevert,"{'window': 7, 'oversold': 20}",0.35577064201178826,-0.13712878339306034,15
LSPD_TO,14.74,9366091.168499999,0.9912641064910386,atr_channel,"{'ema_window': 10, 'k': 2.5}",0.6126973291842511,-0.24598079585597776,15
DNN,3.775,79173408.96683334,0.988180967476533,bollinger,"{'window': 20, 'n_std': 2.0}",0.6204854248079132,-0.28101286075475995,21
OPEN,3.46,253537115.09333336,0.9798332393442784,atr_channel,"{'ema_window': 10, 'k': 1.5}",0.7529475139485505,-0.5082004795874795,21
