sym,price,adv,score,strategy,params,sharpe,maxdd,trades,held
JPM,357.62,2851601064.1540003,22.733956333239497,rsi_meanrevert,"{'window': 14, 'oversold': 25}",0.7985573631273513,-0.000713981320955237,1,False
XDV_TO,47.42,1476302.9308333332,22.264876210486758,atr_channel,"{'ema_window': 10, 'k': 1.5}",1.9889023094332907,-0.0723100362670478,37,False
FIE_TO,11.18,1256729.564,21.909140952718477,atr_channel,"{'ema_window': 10, 'k': 2.0}",1.3818173707171517,-0.043078181201847365,29,False
CEW_TO,34.65,2035476.2251666668,19.486216779751977,atr_channel,"{'ema_window': 10, 'k': 2.5}",1.7697471412588373,-0.05642463887824023,22,False
XLB,53.23,578234831.7665,14.807584103887438,bollinger,"{'window': 20, 'n_std': 2.0}",1.4050968214107666,-0.05490947916751743,35,False
VDY_TO,76.97,18152209.089,13.676982639404159,ts_momentum,"{'lookback': 63, 'threshold': 0.02}",1.8588198423042175,-0.0771072042815214,10,False
ZEB_TO,74.37,145270976.60016668,13.405688613103019,atr_channel,"{'ema_window': 30, 'k': 1.5}",1.8441549058655882,-0.09339739784594348,20,False
FFH_TO,2241.47,149406867.298,12.909682752295655,rsi_meanrevert,"{'window': 7, 'oversold': 35}",1.567140837408073,-0.057683692022625355,32,False
MRK,148.35,1415885825.9445,12.705445350023709,bollinger,"{'window': 30, 'n_std': 2.0}",1.6448787177982114,-0.07458355594743504,27,False
XLU,42.73,869739155.925,12.692772669365953,bollinger,"{'window': 20, 'n_std': 2.5}",1.2257996597780865,-0.03345978684021966,14,False
VRTX,541.69,741980187.5115833,12.235616706592076,bollinger,"{'window': 20, 'n_std': 2.0}",1.3229587094871849,-0.0473159653899029,17,False
XEI_TO,39.7,7134655.909333332,12.212877473600935,atr_channel,"{'ema_window': 20, 'k': 1.5}",1.1187591014409082,-0.07612094256991653,34,False
KO,89.66,1476805676.8803334,11.94789609694407,bollinger,"{'window': 10, 'n_std': 2.5}",1.0682952932851297,-0.008332768809652169,5,False
SLF_TO,109.62,195547814.6003333,11.864837578415846,bollinger,"{'window': 10, 'n_std': 1.5}",1.2317919289577735,-0.07807687099567773,61,False
CB,339.92,619924305.6455,11.5388648567628,bollinger,"{'window': 20, 'n_std': 2.0}",1.1200997792414777,-0.043844158857946236,22,False
