sym,price,is_score,strategy,params,oos_score,wfe,oos_return,oos_maxdd,oos_trades,folds,asset_class,min_trades,tier,held
ENB_TO,69.77,9.484168383943413,bollinger,"{'window': 15, 'n_std': 2.0}",111.21755200803372,8.389000839666162,0.022002670119518206,-0.09588617383235387,19,7,equity,10,robust,False
DOL_TO,175.93,10.363369382533802,rsi_meanrevert,"{'window': 7, 'oversold': 20}",26.08433426042496,1.0011337727816814,0.03026322392047831,-0.08847390547962808,5,5,equity,10,watch,False
XIU_TO,54.05,9.389612867817473,bollinger,"{'window': 15, 'n_std': 2.0}",19.474934600708142,0.7044861369382096,0.010408918845385893,-0.047642060083574855,12,7,equity,10,robust,False
VDY_TO,76.97,13.676982639404159,ts_momentum,"{'lookback': 63, 'threshold': 0.02}",18.198034792978472,0.6613664882839324,0.015648215689424778,-0.050415586963681314,10,7,equity,10,robust,False
XLB,53.23,14.807584103887438,bollinger,"{'window': 20, 'n_std': 2.0}",10.251513069949937,0.5410053328739434,0.042862731477876066,-0.03893241430411076,15,7,equity,10,robust,False
CGL_TO,33.76,2.8822719401809227,atr_channel,"{'ema_window': 30, 'k': 1.5}",9.032696927491951,0.5545025823864917,0.0227532341413851,-0.06050508268313293,8,7,commodity,4,robust,True
WN_TO,97.28,11.026681486126487,rsi_meanrevert,"{'window': 7, 'oversold': 35}",8.44766308701162,0.42320669878425365,0.028127095961862025,-0.037707416829932394,9,5,equity,10,watch,False
SLF_TO,109.62,11.864837578415846,bollinger,"{'window': 10, 'n_std': 1.5}",7.175576678899337,0.5388899902909424,0.020258814790129826,-0.04072654002387954,12,7,equity,10,robust,False
FFH_TO,2241.47,12.909682752295655,rsi_meanrevert,"{'window': 7, 'oversold': 35}",6.667921253152988,0.1500113323067592,0.018234507435835677,-0.07091958187874292,9,5,equity,10,watch,False
CEW_TO,34.65,19.486216779751977,atr_channel,"{'ema_window': 10, 'k': 2.5}",6.4241736507155975,0.2396139845301924,0.013798104919109901,-0.05262467306975138,8,7,equity,10,watch,False
DBC,31.93,11.078511989693649,bollinger,"{'window': 10, 'n_std': 2.5}",6.157858308412064,0.6502508772320194,0.02129616510753669,-0.012446146481570275,4,5,commodity,4,robust,False
RY_TO,284.17,10.252950549265165,atr_channel,"{'ema_window': 30, 'k': 2.5}",5.07375869681235,0.38081795827083625,0.018761575102573987,-0.06835387847388286,10,7,equity,10,watch,False
VCE_TO,77.22,9.995610609027548,bollinger,"{'window': 20, 'n_std': 2.0}",5.043672611271399,0.12251632896051466,0.022649952604504885,-0.03332544662081072,11,5,equity,10,watch,False
XEI_TO,39.7,12.212877473600935,atr_channel,"{'ema_window': 20, 'k': 1.5}",3.6224874773783333,0.1584005025748508,0.018107295296708324,-0.05972939317888615,16,7,equity,10,watch,False
JPM,357.62,22.733956333239497,rsi_meanrevert,"{'window': 14, 'oversold': 25}",3.338619784263618,0.030385582055601563,0.02074778954270021,-0.03156658864364881,3,7,equity,10,watch,False
KO,89.66,11.94789609694407,bollinger,"{'window': 10, 'n_std': 2.5}",2.8236236510505393,0.06556969499833122,0.02488927970575694,-0.056265636861263735,10,7,equity,10,watch,False
ZUT_TO,28.44,3.1600816548105586,ts_momentum,"{'lookback': 189, 'threshold': 0.0}",2.4913117618417813,0.19531553417039615,0.009434841987079985,-0.11730991441137373,9,7,equity,10,watch,True
MDY,679.95,10.77365276890441,rsi_meanrevert,"{'window': 7, 'oversold': 30}",2.0141114093482573,0.15811488349086328,0.00931805987434653,-0.07349607672188363,7,5,equity,10,watch,False
MRU_TO,89.4,9.430427502809387,bollinger,"{'window': 10, 'n_std': 1.5}",1.8365292574107372,0.11219614743453886,0.00833549600344452,-0.0388637648388922,5,5,equity,10,watch,False
PPL_TO,67.44,10.74550363163228,bollinger,"{'window': 10, 'n_std': 2.0}",1.6930928366381297,0.1190783265253477,0.016006783649179006,-0.08935908174027885,13,7,equity,10,watch,False
CB,339.92,11.5388648567628,bollinger,"{'window': 20, 'n_std': 2.0}",1.3345511083843664,0.07835229971555271,0.00158140058858105,-0.052741378904229475,8,5,equity,10,watch,False
XDV_TO,47.42,22.264876210486758,atr_channel,"{'ema_window': 10, 'k': 1.5}",1.1805656485109635,0.04961960548210207,0.0025459554028909154,-0.033194393761575514,9,7,equity,10,watch,False
VRTX,541.69,12.235616706592076,bollinger,"{'window': 20, 'n_std': 2.0}",0.6339086948275395,0.032820666699487765,0.005048849297769431,-0.02788364533124077,2,5,equity,10,watch,False
