symbol,pair,screen_score,source,oos_score,wfe,oos_return,oos_maxdd,oos_trades,oos_win_rate,folds,asset_class,train_bars,test_bars,min_trades,tier
PAXG/USD,PAXGUSD,2.55,deep,13.878825540339555,0.8101033174370982,0.012418434852258709,-0.05012119383731928,20,0.5,15,equity,504,126,10,robust
BTC/USD,XBTUSD,2.59,deep,1.097806307487093,0.27092768690455993,0.1076358472199045,-0.2552784215859367,6,0.6666666666666666,7,equity,504,126,10,watch
UNI/USD,UNIUSD,0.0,shallow,1.0356681119649882,0.5533717965587918,0.09580782273638011,-0.07741222007188275,1,1.0,1,equity,504,126,10,screened+
ADA/USD,ADAUSD,0.0,shallow,0.0,0.0,0.0,0.0,0,0.0,1,equity,504,126,10,watch
XMR/USD,XMRUSD,1.66,shallow,0.0,0.0,0.0,0.0,0,0.0,1,equity,504,126,10,watch
ZEC/USD,ZECUSD,1.5,shallow,0.0,0.0,0.0,0.0,0,0.0,1,equity,504,126,10,watch
XLM/USD,XLMUSD,1.01,shallow,-0.15434113688138162,-0.0701746436039574,-0.11185879750447669,-0.24637124452512316,2,0.5,1,equity,504,126,10,watch
ETH/USD,ETHUSD,0.62,shallow,-0.5497380991820211,-0.2642683843822878,-0.14306822446428258,-0.15136342301077332,1,0.0,1,equity,504,126,10,watch
AAVE/USD,AAVEUSD,0.8,shallow,-0.5896591196337266,-0.47232880483421036,-0.2851419636359932,-0.3682196757097177,2,0.5,1,equity,504,126,10,watch
LINK/USD,LINKUSD,0.93,shallow,-1.26143422324357,-1.0755050925699543,-0.11444139278534626,-0.11444139278534626,2,0.0,1,equity,504,126,10,watch
XRP/USD,XRPUSD,1.43,shallow,-1.9462964605803958,-0.5625531588466892,-0.12268513826570648,-0.15377753330417832,3,0.3333333333333333,1,equity,504,126,10,watch
POL/USD,POLUSD,0.8,shallow,-8.685236617178107,-413.77964748335586,-0.09659279693106737,-0.09659279693106737,0,0.0,1,equity,504,126,10,watch
SOL/USD,SOLUSD,0.0,shallow,-8.962440733490274,-6.5754414643986445,-0.02961029942387572,-0.02961029942387572,0,0.0,1,equity,504,126,10,watch
