symbol,bars,oos_score,wfe,oos_return,oos_maxdd,oos_trades,oos_win_rate,folds,asset_class,train_bars,test_bars,tier
EMB,1254,13.075786567434031,0.8650934917281523,0.003474281449902583,-0.03286415329468684,5,0.6,5,fixed_income,504,126,watch
MUB,1254,12.082815508958284,0.6626589374759604,-0.0004035157211297102,-0.024489740520012626,12,0.25,5,fixed_income,504,126,robust
DBA,1635,7.410981835895424,0.617442851909456,0.028821204616156518,-0.05402408384807611,15,0.7333333333333333,8,commodity,504,126,robust
LQD,1254,6.951310016153622,0.566321496548372,0.01676165197297117,-0.04367931830131022,12,0.5,5,fixed_income,504,126,robust
IEI,1254,5.805352695813402,0.44662965003917005,0.0028560254550094475,-0.006175383409316115,2,1.0,5,fixed_income,504,126,watch
GLD,1541,4.564363585310921,0.10070455139203772,0.017154384870583655,-0.07974750396096864,5,0.8,8,precious_metals,504,126,watch
TFI,1254,4.446399325328847,0.2047565100950694,0.01038205807986825,-0.019440780098566424,8,0.25,5,fixed_income,504,126,watch
TLT,1439,3.7454484301925173,0.27279241840869345,0.011283497138982199,-0.03572874493927125,11,0.9090909090909091,7,fixed_income,504,126,watch
GOVT,1254,2.9126825877561244,0.2687873964625612,-0.003441315600732886,-0.02275654878155764,5,0.2,5,fixed_income,504,126,watch
USO,1293,1.8380844196440578,0.22139745530704782,0.01838855201594793,-0.08520437535981595,6,0.5,6,commodity,504,126,watch
DBC,1452,1.6142191967220112,0.09481627160013845,0.0001580541222926866,-0.13181462599731986,7,0.5714285714285714,7,commodity,504,126,watch
SGOL,1254,1.5214884626861964,0.06681559888612783,0.006867303767006594,-0.05963393032867559,6,0.6666666666666666,5,precious_metals,504,126,watch
SLV,2034,1.3948928461711123,0.13803647828631105,0.0052011040955086225,-0.3687364032119178,18,0.6111111111111112,12,precious_metals,504,126,watch
IEF,1439,1.07752402048273,0.14086616172526586,-0.0027958435355088162,-0.0320613538929555,5,0.0,7,fixed_income,504,126,watch
DIA,1262,1.0526071868528202,0.04043108575637074,0.004914719983492614,-0.015339790536005316,2,1.0,6,equity,504,126,watch
UNG,1261,0.8265091117951258,0.3275997117063444,0.017903417764562463,-0.23594152839139404,8,0.75,6,commodity,504,126,watch
TLH,1254,0.49279064137830597,0.11825217577558764,-0.004211951122131863,-0.04512298904228951,8,0.375,5,fixed_income,504,126,watch
IAU,1254,0.06323910982397227,0.0027260395493837576,-0.001174801311768814,-0.058632812634465736,6,0.6666666666666666,5,precious_metals,504,126,watch
PSLV,1254,0.05491790383641275,0.006938826103188798,-0.0009652218602592466,-0.09629571620650701,6,0.6666666666666666,5,precious_metals,504,126,watch
HYG,1254,-0.43216549403034693,-0.021537749810756533,-0.002044888608173645,-0.02204366995656981,2,0.0,5,fixed_income,504,126,watch
AGG,1254,-0.6509038912886252,-0.044629175539215596,0.0034244224700940907,-0.025778147711120303,8,0.25,5,fixed_income,504,126,watch
BND,1254,-1.3437790346697542,-0.09309760544609517,-0.00594577621847372,-0.02314205461734309,6,0.16666666666666666,5,fixed_income,504,126,watch
JNK,1254,-1.5801538093263559,-0.08789011300556965,-0.0038297098382440884,-0.016963974615667232,3,0.3333333333333333,5,fixed_income,504,126,watch
SHY,1439,-2.0982642531140376,-0.2237891387338622,-0.002311694904853469,-0.011246352279260519,5,0.4,7,fixed_income,504,126,watch
MBB,1254,-4.306998150357643,-0.31675444165483446,-0.00658202807570254,-0.018608403454829725,6,0.16666666666666666,5,fixed_income,504,126,watch
